LIGHT (lux),Time since start in ms,YYYY-MO-DD HH-MI-SS.SSSS
39.00,16540,2022-03-30 20:52:30.1150
39.00,16588,2022-03-30 20:52:30.1620
39.00,16634,2022-03-30 20:52:30.2080
39.00,16678,2022-03-30 20:52:30.2530
39.00,16724,2022-03-30 20:52:30.2990
39.00,16772,2022-03-30 20:52:30.3470
39.00,16819,2022-03-30 20:52:30.3940
37.00,16866,2022-03-30 20:52:30.4410
37.00,16914,2022-03-30 20:52:30.4890
37.00,16959,2022-03-30 20:52:30.5330
37.00,17006,2022-03-30 20:52:30.5810
37.00,17052,2022-03-30 20:52:30.6260
37.00,17098,2022-03-30 20:52:30.6720
37.00,17143,2022-03-30 20:52:30.7180
37.00,17189,2022-03-30 20:52:30.7640
37.00,17236,2022-03-30 20:52:30.8100
37.00,17285,2022-03-30 20:52:30.8590
37.00,17332,2022-03-30 20:52:30.9070
37.00,17378,2022-03-30 20:52:30.9530
37.00,17425,2022-03-30 20:52:31.0000
37.00,17472,2022-03-30 20:52:31.0460
37.00,17517,2022-03-30 20:52:31.0910
33.00,17561,2022-03-30 20:52:31.1350
33.00,17609,2022-03-30 20:52:31.1840
33.00,17659,2022-03-30 20:52:31.2330
33.00,17705,2022-03-30 20:52:31.2790
33.00,17737,2022-03-30 20:52:31.3120
33.00,17769,2022-03-30 20:52:31.3430
33.00,17816,2022-03-30 20:52:31.3900
33.00,17862,2022-03-30 20:52:31.4370
33.00,17907,2022-03-30 20:52:31.4810
33.00,17952,2022-03-30 20:52:31.5270
33.00,18003,2022-03-30 20:52:31.5780
33.00,18047,2022-03-30 20:52:31.6220
33.00,18093,2022-03-30 20:52:31.6670
33.00,18138,2022-03-30 20:52:31.7130
33.00,18186,2022-03-30 20:52:31.7600
33.00,18231,2022-03-30 20:52:31.8050
38.00,18277,2022-03-30 20:52:31.8510
38.00,18305,2022-03-30 20:52:31.8790
38.00,18333,2022-03-30 20:52:31.9070
38.00,18364,2022-03-30 20:52:31.9390
38.00,18395,2022-03-30 20:52:31.9700
38.00,18423,2022-03-30 20:52:31.9980
38.00,18455,2022-03-30 20:52:32.0290
38.00,18496,2022-03-30 20:52:32.0700
38.00,18542,2022-03-30 20:52:32.1160
38.00,18589,2022-03-30 20:52:32.1630
38.00,18635,2022-03-30 20:52:32.2090
38.00,18680,2022-03-30 20:52:32.2540
38.00,18715,2022-03-30 20:52:32.2890
38.00,18738,2022-03-30 20:52:32.3130
38.00,18767,2022-03-30 20:52:32.3420
38.00,18817,2022-03-30 20:52:32.3910
38.00,18861,2022-03-30 20:52:32.4360
38.00,18907,2022-03-30 20:52:32.4820
43.00,18954,2022-03-30 20:52:32.5280
43.00,19004,2022-03-30 20:52:32.5780
43.00,19048,2022-03-30 20:52:32.6230
43.00,19097,2022-03-30 20:52:32.6710
43.00,19132,2022-03-30 20:52:32.7070
43.00,19173,2022-03-30 20:52:32.7470
43.00,19218,2022-03-30 20:52:32.7920
43.00,19266,2022-03-30 20:52:32.8400
43.00,19295,2022-03-30 20:52:32.8690
43.00,19323,2022-03-30 20:52:32.8980
43.00,19357,2022-03-30 20:52:32.9310
43.00,19395,2022-03-30 20:52:32.9700
43.00,19442,2022-03-30 20:52:33.0170
43.00,19489,2022-03-30 20:52:33.0630
43.00,19535,2022-03-30 20:52:33.1090
43.00,19578,2022-03-30 20:52:33.1530
43.00,19624,2022-03-30 20:52:33.1990
33.00,19673,2022-03-30 20:52:33.2480
33.00,19720,2022-03-30 20:52:33.2950
33.00,19766,2022-03-30 20:52:33.3400
33.00,19798,2022-03-30 20:52:33.3730
33.00,19829,2022-03-30 20:52:33.4030
33.00,19873,2022-03-30 20:52:33.4470
33.00,19919,2022-03-30 20:52:33.4940
33.00,19965,2022-03-30 20:52:33.5400
33.00,20010,2022-03-30 20:52:33.5850
33.00,20059,2022-03-30 20:52:33.6330
33.00,20110,2022-03-30 20:52:33.6840
33.00,20155,2022-03-30 20:52:33.7290
33.00,20200,2022-03-30 20:52:33.7750
33.00,20245,2022-03-30 20:52:33.8190
33.00,20289,2022-03-30 20:52:33.8640
33.00,20334,2022-03-30 20:52:33.9080
33.00,20380,2022-03-30 20:52:33.9550
33.00,20427,2022-03-30 20:52:34.0020
33.00,20473,2022-03-30 20:52:34.0480
33.00,20519,2022-03-30 20:52:34.0930
33.00,20564,2022-03-30 20:52:34.1390
33.00,20610,2022-03-30 20:52:34.1850
33.00,20658,2022-03-30 20:52:34.2320
33.00,20702,2022-03-30 20:52:34.2760
33.00,20737,2022-03-30 20:52:34.3110
33.00,20787,2022-03-30 20:52:34.3610
33.00,20837,2022-03-30 20:52:34.4120
33.00,20885,2022-03-30 20:52:34.4590
33.00,20933,2022-03-30 20:52:34.5080
33.00,20982,2022-03-30 20:52:34.5570
33.00,21028,2022-03-30 20:52:34.6030
43.00,21074,2022-03-30 20:52:34.6490
43.00,21122,2022-03-30 20:52:34.6960
43.00,21167,2022-03-30 20:52:34.7410
43.00,21212,2022-03-30 20:52:34.7870
43.00,21261,2022-03-30 20:52:34.8350
43.00,21294,2022-03-30 20:52:34.8690
43.00,21325,2022-03-30 20:52:34.8990
43.00,21359,2022-03-30 20:52:34.9330
43.00,21387,2022-03-30 20:52:34.9610
43.00,21437,2022-03-30 20:52:35.0120
43.00,21486,2022-03-30 20:52:35.0600
43.00,21531,2022-03-30 20:52:35.1050
43.00,21579,2022-03-30 20:52:35.1540
43.00,21626,2022-03-30 20:52:35.2010
43.00,21676,2022-03-30 20:52:35.2500
43.00,21719,2022-03-30 20:52:35.2930
35.00,21767,2022-03-30 20:52:35.3420
35.00,21814,2022-03-30 20:52:35.3890
35.00,21862,2022-03-30 20:52:35.4360
35.00,21907,2022-03-30 20:52:35.4820
35.00,21955,2022-03-30 20:52:35.5300
35.00,22001,2022-03-30 20:52:35.5750
35.00,22047,2022-03-30 20:52:35.6210
35.00,22094,2022-03-30 20:52:35.6680
35.00,22142,2022-03-30 20:52:35.7170
35.00,22186,2022-03-30 20:52:35.7600
35.00,22230,2022-03-30 20:52:35.8050
35.00,22277,2022-03-30 20:52:35.8520
35.00,22323,2022-03-30 20:52:35.8980
35.00,22368,2022-03-30 20:52:35.9430
35.00,22415,2022-03-30 20:52:35.9890
34.00,22452,2022-03-30 20:52:36.0270
34.00,22483,2022-03-30 20:52:36.0580
34.00,22516,2022-03-30 20:52:36.0910
34.00,22543,2022-03-30 20:52:36.1180
34.00,22578,2022-03-30 20:52:36.1520
34.00,22608,2022-03-30 20:52:36.1830
34.00,22636,2022-03-30 20:52:36.2100
34.00,22669,2022-03-30 20:52:36.2440
34.00,22697,2022-03-30 20:52:36.2710
34.00,22721,2022-03-30 20:52:36.2950
34.00,22748,2022-03-30 20:52:36.3230
34.00,22791,2022-03-30 20:52:36.3650
34.00,22820,2022-03-30 20:52:36.3940
34.00,22849,2022-03-30 20:52:36.4240
34.00,22895,2022-03-30 20:52:36.4700
34.00,22942,2022-03-30 20:52:36.5160
