LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.0,14464,2020-09-30 12:03:05:431
0.0,14514,2020-09-30 12:03:05:481
0.0,14563,2020-09-30 12:03:05:530
0.0,14613,2020-09-30 12:03:05:580
0.0,14664,2020-09-30 12:03:05:631
6.0,14714,2020-09-30 12:03:05:681
6.0,14764,2020-09-30 12:03:05:731
6.0,14814,2020-09-30 12:03:05:781
6.0,14864,2020-09-30 12:03:05:831
6.0,14914,2020-09-30 12:03:05:881
4.0,14963,2020-09-30 12:03:05:930
4.0,15014,2020-09-30 12:03:05:981
0.0,15063,2020-09-30 12:03:06:030
0.0,15114,2020-09-30 12:03:06:081
4.0,15164,2020-09-30 12:03:06:131
4.0,15213,2020-09-30 12:03:06:180
6.0,15263,2020-09-30 12:03:06:230
6.0,15314,2020-09-30 12:03:06:281
6.0,15364,2020-09-30 12:03:06:331
6.0,15414,2020-09-30 12:03:06:381
6.0,15464,2020-09-30 12:03:06:431
4.0,15514,2020-09-30 12:03:06:481
0.0,15563,2020-09-30 12:03:06:530
0.0,15613,2020-09-30 12:03:06:580
0.0,15664,2020-09-30 12:03:06:631
6.0,15713,2020-09-30 12:03:06:680
6.0,15763,2020-09-30 12:03:06:730
6.0,15814,2020-09-30 12:03:06:781
6.0,15864,2020-09-30 12:03:06:831
6.0,15914,2020-09-30 12:03:06:881
6.0,15963,2020-09-30 12:03:06:930
0.0,16014,2020-09-30 12:03:06:981
0.0,16064,2020-09-30 12:03:07:031
0.0,16114,2020-09-30 12:03:07:081
0.0,16164,2020-09-30 12:03:07:131
0.0,16214,2020-09-30 12:03:07:181
6.0,16263,2020-09-30 12:03:07:230
6.0,16314,2020-09-30 12:03:07:281
6.0,16364,2020-09-30 12:03:07:331
6.0,16413,2020-09-30 12:03:07:380
6.0,16463,2020-09-30 12:03:07:430
0.0,16513,2020-09-30 12:03:07:480
0.0,16564,2020-09-30 12:03:07:531
0.0,16614,2020-09-30 12:03:07:581
0.0,16664,2020-09-30 12:03:07:631
4.0,16714,2020-09-30 12:03:07:681
6.0,16763,2020-09-30 12:03:07:730
6.0,16813,2020-09-30 12:03:07:780
6.0,16864,2020-09-30 12:03:07:831
6.0,16914,2020-09-30 12:03:07:881
4.0,16963,2020-09-30 12:03:07:930
4.0,17013,2020-09-30 12:03:07:980
0.0,17065,2020-09-30 12:03:08:032
0.0,17114,2020-09-30 12:03:08:081
3.0,17163,2020-09-30 12:03:08:130
6.0,17214,2020-09-30 12:03:08:181
6.0,17264,2020-09-30 12:03:08:231
6.0,17313,2020-09-30 12:03:08:280
6.0,17364,2020-09-30 12:03:08:331
6.0,17413,2020-09-30 12:03:08:380
6.0,17463,2020-09-30 12:03:08:430
6.0,17513,2020-09-30 12:03:08:480
0.0,17564,2020-09-30 12:03:08:531
0.0,17614,2020-09-30 12:03:08:581
0.0,17663,2020-09-30 12:03:08:630
3.0,17713,2020-09-30 12:03:08:680
6.0,17763,2020-09-30 12:03:08:730
6.0,17814,2020-09-30 12:03:08:781
6.0,17864,2020-09-30 12:03:08:831
6.0,17914,2020-09-30 12:03:08:881
6.0,17964,2020-09-30 12:03:08:931
0.0,18013,2020-09-30 12:03:08:980
0.0,18063,2020-09-30 12:03:09:030
