LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.0,14878,2021-01-07 16:54:19:134
4.0,14928,2021-01-07 16:54:19:184
4.0,14978,2021-01-07 16:54:19:234
4.0,15028,2021-01-07 16:54:19:284
4.0,15078,2021-01-07 16:54:19:334
4.0,15127,2021-01-07 16:54:19:383
4.0,15177,2021-01-07 16:54:19:433
4.0,15227,2021-01-07 16:54:19:483
4.0,15278,2021-01-07 16:54:19:534
4.0,15328,2021-01-07 16:54:19:584
4.0,15378,2021-01-07 16:54:19:634
4.0,15428,2021-01-07 16:54:19:684
4.0,15477,2021-01-07 16:54:19:733
4.0,15528,2021-01-07 16:54:19:784
4.0,15578,2021-01-07 16:54:19:834
4.0,15628,2021-01-07 16:54:19:884
4.0,15678,2021-01-07 16:54:19:934
4.0,15728,2021-01-07 16:54:19:984
4.0,15778,2021-01-07 16:54:20:034
4.0,15828,2021-01-07 16:54:20:084
4.0,15878,2021-01-07 16:54:20:134
4.0,15928,2021-01-07 16:54:20:184
4.0,15978,2021-01-07 16:54:20:234
4.0,16027,2021-01-07 16:54:20:283
4.0,16077,2021-01-07 16:54:20:333
4.0,16128,2021-01-07 16:54:20:384
4.0,16178,2021-01-07 16:54:20:434
4.0,16228,2021-01-07 16:54:20:484
4.0,16278,2021-01-07 16:54:20:534
4.0,16328,2021-01-07 16:54:20:584
4.0,16378,2021-01-07 16:54:20:634
4.0,16428,2021-01-07 16:54:20:684
4.0,16478,2021-01-07 16:54:20:734
4.0,16528,2021-01-07 16:54:20:784
4.0,16578,2021-01-07 16:54:20:834
4.0,16628,2021-01-07 16:54:20:884
4.0,16678,2021-01-07 16:54:20:934
4.0,16728,2021-01-07 16:54:20:984
4.0,16777,2021-01-07 16:54:21:033
4.0,16828,2021-01-07 16:54:21:084
4.0,16878,2021-01-07 16:54:21:134
4.0,16928,2021-01-07 16:54:21:184
4.0,16978,2021-01-07 16:54:21:234
4.0,17028,2021-01-07 16:54:21:284
4.0,17077,2021-01-07 16:54:21:333
4.0,17128,2021-01-07 16:54:21:384
4.0,17178,2021-01-07 16:54:21:434
4.0,17228,2021-01-07 16:54:21:484
4.0,17278,2021-01-07 16:54:21:534
4.0,17327,2021-01-07 16:54:21:583
4.0,17378,2021-01-07 16:54:21:634
4.0,17428,2021-01-07 16:54:21:684
4.0,17478,2021-01-07 16:54:21:734
4.0,17528,2021-01-07 16:54:21:784
4.0,17578,2021-01-07 16:54:21:834
4.0,17628,2021-01-07 16:54:21:884
4.0,17678,2021-01-07 16:54:21:934
4.0,17728,2021-01-07 16:54:21:984
4.0,17778,2021-01-07 16:54:22:034
4.0,17828,2021-01-07 16:54:22:084
4.0,17878,2021-01-07 16:54:22:134
4.0,17928,2021-01-07 16:54:22:184
4.0,17977,2021-01-07 16:54:22:233
4.0,18028,2021-01-07 16:54:22:284
4.0,18078,2021-01-07 16:54:22:334
4.0,18127,2021-01-07 16:54:22:383
4.0,18178,2021-01-07 16:54:22:434
4.0,18227,2021-01-07 16:54:22:483
4.0,18278,2021-01-07 16:54:22:534
4.0,18328,2021-01-07 16:54:22:584
4.0,18378,2021-01-07 16:54:22:634
4.0,18427,2021-01-07 16:54:22:683
4.0,18478,2021-01-07 16:54:22:734
4.0,18528,2021-01-07 16:54:22:784
4.0,18578,2021-01-07 16:54:22:834
4.0,18628,2021-01-07 16:54:22:884
4.0,18678,2021-01-07 16:54:22:934
4.0,18728,2021-01-07 16:54:22:984
4.0,18778,2021-01-07 16:54:23:034
4.0,18827,2021-01-07 16:54:23:083
4.0,18878,2021-01-07 16:54:23:134
4.0,18928,2021-01-07 16:54:23:184
4.0,18978,2021-01-07 16:54:23:234
4.0,19028,2021-01-07 16:54:23:284
4.0,19077,2021-01-07 16:54:23:333
4.0,19128,2021-01-07 16:54:23:384
4.0,19178,2021-01-07 16:54:23:434
4.0,19228,2021-01-07 16:54:23:484
4.0,19278,2021-01-07 16:54:23:534
4.0,19328,2021-01-07 16:54:23:584
4.0,19378,2021-01-07 16:54:23:634
4.0,19427,2021-01-07 16:54:23:683
4.0,19478,2021-01-07 16:54:23:734
4.0,19528,2021-01-07 16:54:23:784
4.0,19578,2021-01-07 16:54:23:834
4.0,19628,2021-01-07 16:54:23:884
4.0,19678,2021-01-07 16:54:23:934
4.0,19728,2021-01-07 16:54:23:984
4.0,19778,2021-01-07 16:54:24:034
4.0,19828,2021-01-07 16:54:24:084
4.0,19877,2021-01-07 16:54:24:133
4.0,19928,2021-01-07 16:54:24:184
4.0,19977,2021-01-07 16:54:24:233
4.0,20028,2021-01-07 16:54:24:284
4.0,20078,2021-01-07 16:54:24:334
4.0,20127,2021-01-07 16:54:24:383
4.0,20178,2021-01-07 16:54:24:434
4.0,20228,2021-01-07 16:54:24:484
6.0,20278,2021-01-07 16:54:24:534
6.0,20328,2021-01-07 16:54:24:584
6.0,20378,2021-01-07 16:54:24:634
6.0,20428,2021-01-07 16:54:24:684
6.0,20478,2021-01-07 16:54:24:734
6.0,20528,2021-01-07 16:54:24:784
6.0,20578,2021-01-07 16:54:24:834
6.0,20628,2021-01-07 16:54:24:884
6.0,20678,2021-01-07 16:54:24:934
6.0,20727,2021-01-07 16:54:24:983
6.0,20778,2021-01-07 16:54:25:034
6.0,20828,2021-01-07 16:54:25:084
6.0,20878,2021-01-07 16:54:25:134
6.0,20928,2021-01-07 16:54:25:184
6.0,20978,2021-01-07 16:54:25:234
6.0,21028,2021-01-07 16:54:25:284
6.0,21080,2021-01-07 16:54:25:336
6.0,21128,2021-01-07 16:54:25:384
6.0,21177,2021-01-07 16:54:25:433
6.0,21228,2021-01-07 16:54:25:484
6.0,21277,2021-01-07 16:54:25:533
6.0,21328,2021-01-07 16:54:25:584
6.0,21377,2021-01-07 16:54:25:633
6.0,21428,2021-01-07 16:54:25:684
6.0,21478,2021-01-07 16:54:25:734
6.0,21528,2021-01-07 16:54:25:784
6.0,21578,2021-01-07 16:54:25:834
6.0,21628,2021-01-07 16:54:25:884
4.0,21678,2021-01-07 16:54:25:934
4.0,21728,2021-01-07 16:54:25:984
4.0,21777,2021-01-07 16:54:26:033
4.0,21828,2021-01-07 16:54:26:084
4.0,21878,2021-01-07 16:54:26:134
4.0,21927,2021-01-07 16:54:26:183
4.0,21978,2021-01-07 16:54:26:234
4.0,22028,2021-01-07 16:54:26:284
4.0,22078,2021-01-07 16:54:26:334
4.0,22127,2021-01-07 16:54:26:383
4.0,22178,2021-01-07 16:54:26:434
4.0,22227,2021-01-07 16:54:26:483
4.0,22278,2021-01-07 16:54:26:534
4.0,22328,2021-01-07 16:54:26:584
4.0,22378,2021-01-07 16:54:26:634
4.0,22428,2021-01-07 16:54:26:684
4.0,22478,2021-01-07 16:54:26:734
4.0,22527,2021-01-07 16:54:26:783
4.0,22578,2021-01-07 16:54:26:834
4.0,22628,2021-01-07 16:54:26:884
4.0,22678,2021-01-07 16:54:26:934
4.0,22727,2021-01-07 16:54:26:983
4.0,22778,2021-01-07 16:54:27:034
4.0,22828,2021-01-07 16:54:27:084
4.0,22878,2021-01-07 16:54:27:134
4.0,22929,2021-01-07 16:54:27:185
4.0,22978,2021-01-07 16:54:27:234
4.0,23027,2021-01-07 16:54:27:283
4.0,23077,2021-01-07 16:54:27:333
4.0,23128,2021-01-07 16:54:27:384
4.0,23178,2021-01-07 16:54:27:434
4.0,23228,2021-01-07 16:54:27:484
4.0,23278,2021-01-07 16:54:27:534
4.0,23328,2021-01-07 16:54:27:584
4.0,23377,2021-01-07 16:54:27:633
4.0,23428,2021-01-07 16:54:27:684
4.0,23478,2021-01-07 16:54:27:734
4.0,23528,2021-01-07 16:54:27:784
4.0,23578,2021-01-07 16:54:27:834
4.0,23628,2021-01-07 16:54:27:884
4.0,23678,2021-01-07 16:54:27:934
4.0,23728,2021-01-07 16:54:27:984
4.0,23778,2021-01-07 16:54:28:034
4.0,23828,2021-01-07 16:54:28:084
4.0,23878,2021-01-07 16:54:28:134
4.0,23928,2021-01-07 16:54:28:184
4.0,23978,2021-01-07 16:54:28:234
6.0,24028,2021-01-07 16:54:28:284
6.0,24078,2021-01-07 16:54:28:334
6.0,24128,2021-01-07 16:54:28:384
6.0,24178,2021-01-07 16:54:28:434
6.0,24228,2021-01-07 16:54:28:484
6.0,24278,2021-01-07 16:54:28:534
4.0,24328,2021-01-07 16:54:28:584
4.0,24378,2021-01-07 16:54:28:634
4.0,24436,2021-01-07 16:54:28:692
4.0,24479,2021-01-07 16:54:28:735
4.0,24528,2021-01-07 16:54:28:784
4.0,24578,2021-01-07 16:54:28:834
4.0,24628,2021-01-07 16:54:28:884
4.0,24678,2021-01-07 16:54:28:934
4.0,24727,2021-01-07 16:54:28:983
4.0,24778,2021-01-07 16:54:29:034
4.0,24828,2021-01-07 16:54:29:084
4.0,24877,2021-01-07 16:54:29:133
4.0,24928,2021-01-07 16:54:29:184
4.0,24978,2021-01-07 16:54:29:234
4.0,25028,2021-01-07 16:54:29:284
4.0,25078,2021-01-07 16:54:29:334
4.0,25128,2021-01-07 16:54:29:384
4.0,25178,2021-01-07 16:54:29:434
4.0,25228,2021-01-07 16:54:29:484
4.0,25277,2021-01-07 16:54:29:533
4.0,25328,2021-01-07 16:54:29:584
4.0,25378,2021-01-07 16:54:29:634
4.0,25428,2021-01-07 16:54:29:684
4.0,25478,2021-01-07 16:54:29:734
4.0,25528,2021-01-07 16:54:29:784
4.0,25578,2021-01-07 16:54:29:834
3.0,25628,2021-01-07 16:54:29:884
3.0,25678,2021-01-07 16:54:29:934
3.0,25728,2021-01-07 16:54:29:984
4.0,25778,2021-01-07 16:54:30:034
4.0,25828,2021-01-07 16:54:30:084
4.0,25878,2021-01-07 16:54:30:134
4.0,25928,2021-01-07 16:54:30:184
4.0,25978,2021-01-07 16:54:30:234
4.0,26028,2021-01-07 16:54:30:284
4.0,26078,2021-01-07 16:54:30:334
4.0,26128,2021-01-07 16:54:30:384
4.0,26178,2021-01-07 16:54:30:434
4.0,26228,2021-01-07 16:54:30:484
4.0,26277,2021-01-07 16:54:30:533
4.0,26328,2021-01-07 16:54:30:584
4.0,26378,2021-01-07 16:54:30:634
4.0,26428,2021-01-07 16:54:30:684
4.0,26477,2021-01-07 16:54:30:733
4.0,26528,2021-01-07 16:54:30:784
4.0,26578,2021-01-07 16:54:30:834
4.0,26628,2021-01-07 16:54:30:884
4.0,26678,2021-01-07 16:54:30:934
4.0,26728,2021-01-07 16:54:30:984
4.0,26778,2021-01-07 16:54:31:034
4.0,26828,2021-01-07 16:54:31:084
4.0,26878,2021-01-07 16:54:31:134
6.0,26928,2021-01-07 16:54:31:184
6.0,26978,2021-01-07 16:54:31:234
6.0,27028,2021-01-07 16:54:31:284
6.0,27078,2021-01-07 16:54:31:334
6.0,27128,2021-01-07 16:54:31:384
6.0,27178,2021-01-07 16:54:31:434
6.0,27228,2021-01-07 16:54:31:484
6.0,27277,2021-01-07 16:54:31:533
6.0,27328,2021-01-07 16:54:31:584
6.0,27378,2021-01-07 16:54:31:634
6.0,27428,2021-01-07 16:54:31:684
6.0,27477,2021-01-07 16:54:31:733
6.0,27528,2021-01-07 16:54:31:784
6.0,27577,2021-01-07 16:54:31:833
6.0,27628,2021-01-07 16:54:31:884
6.0,27678,2021-01-07 16:54:31:934
6.0,27728,2021-01-07 16:54:31:984
6.0,27778,2021-01-07 16:54:32:034
6.0,27828,2021-01-07 16:54:32:084
6.0,27878,2021-01-07 16:54:32:134
6.0,27928,2021-01-07 16:54:32:184
6.0,27978,2021-01-07 16:54:32:234
6.0,28027,2021-01-07 16:54:32:283
6.0,28078,2021-01-07 16:54:32:334
6.0,28128,2021-01-07 16:54:32:384
6.0,28178,2021-01-07 16:54:32:434
6.0,28228,2021-01-07 16:54:32:484
6.0,28278,2021-01-07 16:54:32:534
6.0,28327,2021-01-07 16:54:32:583
6.0,28378,2021-01-07 16:54:32:634
6.0,28428,2021-01-07 16:54:32:684
6.0,28478,2021-01-07 16:54:32:734
6.0,28528,2021-01-07 16:54:32:784
6.0,28578,2021-01-07 16:54:32:834
6.0,28627,2021-01-07 16:54:32:883
6.0,28678,2021-01-07 16:54:32:934
6.0,28727,2021-01-07 16:54:32:983
6.0,28778,2021-01-07 16:54:33:034
6.0,28827,2021-01-07 16:54:33:083
6.0,28878,2021-01-07 16:54:33:134
6.0,28927,2021-01-07 16:54:33:183
6.0,28978,2021-01-07 16:54:33:234
6.0,29028,2021-01-07 16:54:33:284
6.0,29078,2021-01-07 16:54:33:334
6.0,29128,2021-01-07 16:54:33:384
6.0,29177,2021-01-07 16:54:33:433
6.0,29228,2021-01-07 16:54:33:484
6.0,29279,2021-01-07 16:54:33:535
6.0,29328,2021-01-07 16:54:33:584
6.0,29378,2021-01-07 16:54:33:634
6.0,29427,2021-01-07 16:54:33:683
6.0,29478,2021-01-07 16:54:33:734
6.0,29528,2021-01-07 16:54:33:784
6.0,29578,2021-01-07 16:54:33:834
6.0,29627,2021-01-07 16:54:33:883
6.0,29678,2021-01-07 16:54:33:934
6.0,29727,2021-01-07 16:54:33:983
6.0,29778,2021-01-07 16:54:34:034
6.0,29828,2021-01-07 16:54:34:084
6.0,29878,2021-01-07 16:54:34:134
6.0,29928,2021-01-07 16:54:34:184
4.0,29978,2021-01-07 16:54:34:234
4.0,30028,2021-01-07 16:54:34:284
4.0,30078,2021-01-07 16:54:34:334
4.0,30128,2021-01-07 16:54:34:384
3.0,30178,2021-01-07 16:54:34:434
3.0,30228,2021-01-07 16:54:34:484
4.0,30277,2021-01-07 16:54:34:533
4.0,30328,2021-01-07 16:54:34:584
4.0,30378,2021-01-07 16:54:34:634
4.0,30428,2021-01-07 16:54:34:684
4.0,30478,2021-01-07 16:54:34:734
4.0,30528,2021-01-07 16:54:34:784
4.0,30578,2021-01-07 16:54:34:834
4.0,30628,2021-01-07 16:54:34:884
4.0,30678,2021-01-07 16:54:34:934
4.0,30728,2021-01-07 16:54:34:984
4.0,30778,2021-01-07 16:54:35:034
4.0,30828,2021-01-07 16:54:35:084
4.0,30877,2021-01-07 16:54:35:133
4.0,30928,2021-01-07 16:54:35:184
4.0,30978,2021-01-07 16:54:35:234
4.0,31028,2021-01-07 16:54:35:284
4.0,31077,2021-01-07 16:54:35:333
4.0,31128,2021-01-07 16:54:35:384
4.0,31178,2021-01-07 16:54:35:434
4.0,31228,2021-01-07 16:54:35:484
4.0,31278,2021-01-07 16:54:35:534
4.0,31327,2021-01-07 16:54:35:583
4.0,31378,2021-01-07 16:54:35:634
4.0,31429,2021-01-07 16:54:35:685
4.0,31478,2021-01-07 16:54:35:734
4.0,31528,2021-01-07 16:54:35:784
