LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
72.00,6797,2022-04-05 14:34:20.6000
72.00,6828,2022-04-05 14:34:20.6310
72.00,6853,2022-04-05 14:34:20.6560
72.00,6881,2022-04-05 14:34:20.6840
72.00,6913,2022-04-05 14:34:20.7150
72.00,6951,2022-04-05 14:34:20.7530
72.00,6986,2022-04-05 14:34:20.7880
72.00,7017,2022-04-05 14:34:20.8190
72.00,7052,2022-04-05 14:34:20.8540
72.00,7086,2022-04-05 14:34:20.8890
72.00,7119,2022-04-05 14:34:20.9210
72.00,7154,2022-04-05 14:34:20.9570
72.00,7182,2022-04-05 14:34:20.9840
71.00,7219,2022-04-05 14:34:21.0210
71.00,7259,2022-04-05 14:34:21.0610
71.00,7287,2022-04-05 14:34:21.0890
71.00,7321,2022-04-05 14:34:21.1230
71.00,7355,2022-04-05 14:34:21.1580
71.00,7390,2022-04-05 14:34:21.1920
71.00,7421,2022-04-05 14:34:21.2240
71.00,7461,2022-04-05 14:34:21.2630
70.00,7492,2022-04-05 14:34:21.2950
70.00,7524,2022-04-05 14:34:21.3270
70.00,7564,2022-04-05 14:34:21.3660
70.00,7601,2022-04-05 14:34:21.4030
70.00,7639,2022-04-05 14:34:21.4410
70.00,7675,2022-04-05 14:34:21.4780
70.00,7713,2022-04-05 14:34:21.5160
69.00,7746,2022-04-05 14:34:21.5480
69.00,7782,2022-04-05 14:34:21.5840
69.00,7821,2022-04-05 14:34:21.6240
69.00,7858,2022-04-05 14:34:21.6600
69.00,7898,2022-04-05 14:34:21.7010
69.00,7935,2022-04-05 14:34:21.7370
66.00,7971,2022-04-05 14:34:21.7740
66.00,8013,2022-04-05 14:34:21.8160
66.00,8044,2022-04-05 14:34:21.8460
66.00,8080,2022-04-05 14:34:21.8820
66.00,8116,2022-04-05 14:34:21.9190
66.00,8149,2022-04-05 14:34:21.9510
66.00,8182,2022-04-05 14:34:21.9850
66.00,8218,2022-04-05 14:34:22.0200
66.00,8252,2022-04-05 14:34:22.0550
66.00,8288,2022-04-05 14:34:22.0900
66.00,8324,2022-04-05 14:34:22.1260
66.00,8356,2022-04-05 14:34:22.1590
66.00,8390,2022-04-05 14:34:22.1930
66.00,8424,2022-04-05 14:34:22.2270
83.00,8462,2022-04-05 14:34:22.2650
83.00,8487,2022-04-05 14:34:22.2890
83.00,8521,2022-04-05 14:34:22.3240
83.00,8557,2022-04-05 14:34:22.3600
83.00,8590,2022-04-05 14:34:22.3920
83.00,8625,2022-04-05 14:34:22.4280
83.00,8659,2022-04-05 14:34:22.4610
83.00,8697,2022-04-05 14:34:22.5000
83.00,8736,2022-04-05 14:34:22.5390
83.00,8769,2022-04-05 14:34:22.5720
83.00,8805,2022-04-05 14:34:22.6080
83.00,8842,2022-04-05 14:34:22.6450
83.00,8875,2022-04-05 14:34:22.6770
83.00,8913,2022-04-05 14:34:22.7160
88.00,8950,2022-04-05 14:34:22.7520
88.00,8984,2022-04-05 14:34:22.7860
88.00,9019,2022-04-05 14:34:22.8210
88.00,9057,2022-04-05 14:34:22.8600
88.00,9091,2022-04-05 14:34:22.8930
88.00,9124,2022-04-05 14:34:22.9260
88.00,9161,2022-04-05 14:34:22.9630
88.00,9186,2022-04-05 14:34:22.9890
